City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Coahuayana Viejo,40,MX,1595007845,74,18.73,-103.68,80.6,3.89
Roura,100,GF,1595007846,66,4.73,-52.33,87.8,6.93
Stromness,42,GB,1595007846,62,58.97,-3.3,60.01,8.05
Tsimlyansk,100,RU,1595007846,75,47.65,42.1,68.63,20.58
Huanren,25,CN,1595007846,90,41.26,125.37,63.86,2.51
Zhuhai,40,CN,1595007846,89,22.28,113.57,86.0,12.75
Dhangadhi,68,NP,1595007846,77,28.71,80.6,83.89,6.13
Araouane,17,ML,1595007846,15,18.9,-3.53,105.58,12.01
Verkhnevilyuysk,99,RU,1595007846,95,63.45,120.32,56.01,3.6
Zachary,40,US,1595007847,66,30.65,-91.16,91.0,10.29
Locri,12,IT,1595007847,61,38.24,16.26,80.6,14.99
Cockburn Town,22,TC,1595007847,77,21.46,-71.14,83.41,15.21
Zhigansk,92,RU,1595007847,95,66.77,123.37,52.36,3.74
Hualmay,43,PE,1595007847,64,-11.1,-77.61,65.8,10.74
Sanchursk,33,RU,1595007847,94,56.94,47.25,59.65,6.2
Dabola,93,GN,1595007847,88,10.75,-11.12,73.33,4.05
Hobyo,89,SO,1595007847,68,5.35,48.53,78.49,30.4
Sakakah,0,SA,1595007574,8,29.97,40.21,102.2,3.36
Skegness,7,GB,1595007848,47,53.14,0.34,77.0,10.29
Posadas,7,AR,1595007609,65,-27.37,-55.9,80.6,6.93
Yerbogachën,99,RU,1595007848,94,61.28,108.01,49.84,7.14
Esim,82,GH,1595007848,83,4.87,-2.24,76.26,9.57
Phan Thiet,96,VN,1595007848,87,10.93,108.1,78.44,2.3
Redwater,20,US,1595007848,59,33.36,-94.25,89.6,11.41
Qujing,100,CN,1595007848,93,25.48,103.78,63.66,9.24
Santa Maria,83,BR,1595007625,84,-29.68,-53.81,66.4,6.02
Valday,53,RU,1595007848,84,57.97,33.25,56.73,2.95
Ol'ga,0,RU,1595007849,91,43.74,135.29,59.09,3.51
Newport,27,GB,1595007849,75,51.59,-3.0,68.0,1.99
Kānkon,99,IN,1595007849,85,15.02,74.02,79.66,11.7
Lao Cai,100,VN,1595007849,77,22.48,103.95,78.66,1.34
Qaqortoq,20,GL,1595007849,24,60.72,-46.03,68.0,5.82
Ola,100,RU,1595007849,93,59.58,151.28,51.67,4.59
Portlethen,94,GB,1595007849,56,57.05,-2.13,68.0,16.11
Panzhihua,100,CN,1595007850,81,26.59,101.71,72.82,2.93
George,0,ZA,1595007850,27,-33.96,22.46,62.6,3.36
Tsabong,0,BW,1595007850,55,-26.02,22.4,46.35,3.0
Waipawa,97,NZ,1595007850,76,-41.41,175.52,51.8,6.93
Kokopo,68,PG,1595007850,82,-4.35,152.26,76.87,5.1
Solnechnyy,16,RU,1595007850,93,50.72,136.63,63.46,3.02
Lebu,85,CL,1595007850,86,-37.62,-73.65,54.27,17.16
Puteyets,93,RU,1595007850,95,65.17,57.09,61.16,4.76
Aktash,0,RU,1595007850,91,50.3,87.73,46.67,1.03
Laguna,1,US,1595007851,53,38.42,-121.42,75.0,9.17
Mildura,31,AU,1595007851,86,-34.2,142.15,39.99,5.82
Porto-Novo,40,BJ,1595007851,88,6.5,2.6,77.0,9.17
Baracoa,100,CU,1595007851,65,20.35,-74.5,86.29,8.9
Blejoi,9,RO,1595007851,78,45.0,26.02,66.0,8.34
Anakapalle,40,IN,1595007851,94,17.68,83.02,82.4,5.82
Bānda,50,IN,1595007851,49,25.48,80.33,94.82,7.02
Sidrolândia,1,BR,1595007684,29,-20.93,-54.96,87.8,11.41
Bundaberg,0,AU,1595007852,81,-24.85,152.35,51.01,6.46
Mahanje,42,TZ,1595007852,80,-9.93,35.33,51.46,3.13
Tigil',100,RU,1595007852,89,57.8,158.67,53.33,9.4
Husavik,90,IS,1595007852,81,66.04,-17.34,46.4,23.04
Moose Factory,75,CA,1595007852,50,51.26,-80.61,77.0,16.11
Crestview,40,US,1595007852,49,30.76,-86.57,93.99,11.41
Lata,0,PT,1595007852,40,40.16,-8.33,100.99,6.89
Iracoubo,81,GF,1595007852,79,5.48,-53.2,83.25,9.95
Baghdad,0,IQ,1595007853,14,33.34,44.4,104.0,11.41
Bakel,28,SN,1595007853,43,14.9,-12.46,93.13,1.01
Port Augusta,92,AU,1595007853,44,-32.5,137.77,57.2,12.75
Río Gallegos,90,AR,1595007623,92,-51.62,-69.22,23.0,1.12
Hell,75,NO,1595007853,87,63.45,10.9,59.0,11.41
Guanare,17,VE,1595007853,67,9.04,-69.74,85.8,4.65
Fasa,75,IR,1595007853,23,28.94,53.65,87.8,13.87
Nuuk,20,GL,1595007853,41,64.18,-51.72,59.0,11.41
Esperantinópolis,17,BR,1595007854,42,-4.87,-44.71,90.93,4.61
Asău,50,RO,1595007854,76,46.43,26.4,69.01,1.61
Quang Ngai,49,VN,1595007854,86,15.12,108.8,77.58,5.06
La Romana,40,DO,1595007673,63,18.43,-68.97,91.4,11.41
Puerto del Rosario,23,ES,1595007854,78,28.5,-13.86,78.8,14.99
Carnot,89,CF,1595007854,90,4.94,15.87,71.69,2.17
Vostok,29,RU,1595007854,94,46.49,135.88,61.21,3.51
Sobolevo,71,RU,1595007854,89,54.43,31.9,59.88,4.07
Hays,21,US,1595007854,51,30.05,-98.03,96.01,5.99
Fort-Shevchenko,31,KZ,1595007855,55,44.51,50.26,83.46,14.14
Port Macquarie,32,AU,1595007855,80,-31.43,152.92,55.99,1.01
Morropón,22,PE,1595007855,39,-5.18,-79.97,84.99,6.58
Arrondissement de Saint-Malo,75,FR,1595007855,82,48.5,-1.83,66.99,11.41
Gao,68,ML,1595007855,42,16.64,1.64,90.36,10.33
Abhā,98,SA,1595007565,38,18.22,42.51,75.2,11.41
Shimoda,100,JP,1595007855,96,34.67,138.95,63.0,1.01
Finschhafen,100,PG,1595007855,87,-6.6,147.87,77.04,5.19
Port-Gentil,75,GA,1595007856,88,-0.72,8.78,77.0,13.18
Dickinson,90,US,1595007654,94,29.46,-95.05,82.0,8.84
Broken Hill,33,AU,1595007856,58,-31.95,141.43,46.4,9.17
Belmonte,75,BR,1595007856,73,-15.86,-38.88,75.2,6.93
Ilo,90,PE,1595007856,68,-17.64,-71.34,64.4,4.7
Petra,0,JO,1595007856,56,30.32,35.48,67.3,7.2
Namatanai,82,PG,1595007856,76,-3.67,152.43,79.36,3.18
Opuwo,0,NA,1595007856,34,-18.06,13.84,59.43,10.98
Lovozero,68,RU,1595007857,65,68.0,35.01,65.8,1.77
Vicksburg,1,US,1595007603,66,32.35,-90.88,87.8,5.82
Kiryat Gat,0,IL,1595007857,64,31.61,34.76,81.0,3.83
Winston,40,US,1595007857,55,28.03,-82.01,93.0,13.87
Sechura,1,PE,1595007857,58,-5.56,-80.82,72.86,12.62
Topolobampo,20,MX,1595007857,38,25.6,-109.05,97.0,9.17
Pacifica,20,US,1595007857,63,37.61,-122.49,66.99,3.36
Manche,4,FR,1595007857,64,49.0,-1.17,71.6,10.29
Bosaso,100,SO,1595007857,43,11.28,49.18,93.29,5.21
Strelka,78,RU,1595007858,70,58.07,93.03,52.2,6.4
Pulaski,75,US,1595007858,66,34.77,-92.3,91.0,6.93
Shingū,99,JP,1595007858,93,33.73,135.98,72.32,3.29
Caticlan,80,PH,1595007858,72,11.93,121.96,83.91,8.5
Durrës,20,AL,1595007622,61,41.32,19.44,77.0,5.82
Maïné Soroa,65,NE,1595007858,66,13.21,12.02,80.98,16.08
Farafangana,82,MG,1595007858,79,-22.82,47.83,65.77,8.52
Andújar,1,ES,1595007760,24,38.04,-4.05,100.99,4.0
Belaya Gora,0,RU,1595007859,70,68.53,146.42,45.81,3.85
Abu Samrah,0,SY,1595007859,38,35.3,37.18,75.96,11.03
Myitkyina,100,MM,1595007859,96,25.38,97.4,74.34,1.7
Jinchang,100,CN,1595007859,50,38.5,102.17,66.09,9.89
Ayan,99,RU,1595007859,95,56.45,138.17,52.99,2.15
Carutapera,54,BR,1595007859,75,-1.2,-46.02,82.58,7.72
Liverpool,93,GB,1595007859,72,53.41,-2.98,70.0,9.17
Taunggyi,100,MM,1595007859,100,20.78,97.03,65.14,4.0
Burns Lake,5,CA,1595007680,49,54.23,-125.75,61.57,6.42
Lüderitz,0,NA,1595007860,21,-26.65,15.16,71.6,8.05
Richards Bay,0,ZA,1595007860,70,-28.78,32.04,58.39,6.98
Fes,40,MA,1595007720,17,34.04,-5.0,104.0,13.87
Mossamedes,19,AO,1595007860,47,-15.2,12.15,72.37,6.42
Nouakchott,3,MR,1595007860,65,18.09,-15.98,82.4,18.34
Tegul'det,0,RU,1595007860,88,57.31,88.17,49.41,4.05
Saldanha,0,ZA,1595007861,51,-33.01,17.94,60.8,5.82
Monte Alegre de Minas,0,BR,1595007736,30,-18.87,-48.88,81.77,8.68
Sur,97,OM,1595007861,68,22.57,59.53,86.5,15.48
Brae,40,GB,1595007861,82,60.4,-1.35,55.4,13.87
Robertsport,88,LR,1595007861,77,6.75,-11.37,77.52,10.6
Port Hardy,40,CA,1595007755,72,50.7,-127.42,60.8,13.87
Lae,98,PG,1595007861,84,-6.72,146.98,76.01,2.68
Bukachacha,21,RU,1595007861,92,52.98,116.92,55.11,1.63
Loukhi,9,RU,1595007861,59,66.08,33.04,63.52,2.15
Gazojak,8,TM,1595007861,15,41.19,61.4,91.4,16.42
Vanavara,98,RU,1595007862,91,60.34,102.28,50.05,9.33
Crateús,0,BR,1595007862,24,-5.18,-40.68,92.14,8.61
Havelock,1,US,1595007797,54,34.88,-76.9,91.4,9.17
Yima,13,CN,1595007862,1,34.74,111.88,72.0,1.83
Burnie,100,AU,1595007862,88,-41.07,145.92,45.0,3.0
Haines Junction,100,CA,1595007862,60,60.75,-137.51,56.14,6.29
Conceição do Araguaia,3,BR,1595007862,27,-8.26,-49.26,94.68,4.76
Los Llanos de Aridane,20,ES,1595007862,73,28.66,-17.92,75.99,13.87
Youkounkoun,80,GN,1595007862,82,12.53,-13.13,78.35,10.11
Plungė,50,LT,1595007863,60,55.91,21.84,71.6,5.82
Caucayá,20,CO,1595007863,66,-0.19,-74.78,85.37,2.42
Cap-aux-Meules,75,CA,1595007863,39,47.38,-61.86,66.2,8.05
Ayr,90,GB,1595007863,93,55.46,-4.63,57.2,6.93
Ust-Nera,100,RU,1595007863,67,64.57,143.2,56.7,3.2
